Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
1955-03-29,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-03-30,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-03-31,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-01,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-02,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.44,,
1955-04-03,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.44,,
1955-04-04,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-05,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-06,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-07,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-08,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-09,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.44,,
1955-04-10,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.44,,
1955-04-11,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-12,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-13,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-14,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.44,,
1955-04-15,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.38,,
1955-04-16,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.38,,
1955-04-17,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.38,,
1955-04-18,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,2.75,,,1.5,,
1955-04-19,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.25,,
1955-04-20,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.5,,
1955-04-21,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-04-22,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-04-23,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.63,,
1955-04-24,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.63,,
1955-04-25,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.38,,
1955-04-26,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1,,
1955-04-27,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,0.5,,
1955-04-28,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.5,,
1955-04-29,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-04-30,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-05-01,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-05-02,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-05-03,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-05-04,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-05-05,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-05-06,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.5,,
1955-05-07,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.5,,
1955-05-08,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.5,,
1955-05-09,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.25,,
1955-05-10,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,0.75,,
1955-05-11,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1,,
1955-05-12,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-05-13,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-05-14,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.63,,
1955-05-15,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.63,,
1955-05-16,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-05-17,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,0.5,,
1955-05-18,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,0.5,,
1955-05-19,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.5,,
1955-05-20,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1,,
1955-05-21,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1,,
1955-05-22,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1,,
1955-05-23,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.5,,
1955-05-24,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.5,,
1955-05-25,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-05-26,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-05-27,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-05-28,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-05-29,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-05-30,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-05-31,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-01,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-02,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-03,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-04,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-06-05,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-06-06,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-07,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-06-08,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-06-09,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-10,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-11,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-06-12,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-06-13,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-14,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-15,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-16,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-17,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.5,,
1955-06-18,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.5,,
1955-06-19,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.5,,
1955-06-20,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-06-21,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-06-22,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.38,,
1955-06-23,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-06-24,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-06-25,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.63,,
1955-06-26,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.63,,
1955-06-27,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-28,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-29,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-06-30,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-01,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-02,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-07-03,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-07-04,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-05,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-06,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-07,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-08,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-09,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-07-10,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-07-11,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-12,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-13,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-14,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-15,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-07-16,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.63,,
1955-07-17,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.63,,
1955-07-18,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-07-19,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-07-20,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-21,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-22,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-23,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-07-24,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.69,,
1955-07-25,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-07-26,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.63,,
1955-07-27,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-28,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-07-29,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.75,,
1955-07-30,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.75,,
1955-07-31,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,1.75,,
1955-08-01,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-08-02,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-08-03,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.69,,
1955-08-04,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,2,,
1955-08-05,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,2,,
1955-08-06,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,2,,
1955-08-07,,,,,,,,,,5.5,4.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,2,,
1955-08-08,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.94,,
1955-08-09,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3.75,,,1.94,,
1955-08-10,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,1.94,,
1955-08-11,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,1.94,,
1955-08-12,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-08-13,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2,,
1955-08-14,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2,,
1955-08-15,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-08-16,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,1.94,,
1955-08-17,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,1.94,,
1955-08-18,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-08-19,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-08-20,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2,,
1955-08-21,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2,,
1955-08-22,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-08-23,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-08-24,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,1.94,,
1955-08-25,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-08-26,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-08-27,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2,,
1955-08-28,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2,,
1955-08-29,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-08-30,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-08-31,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-09-01,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-09-02,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.13,,
1955-09-03,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.13,,
1955-09-04,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.13,,
1955-09-05,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.13,,
1955-09-06,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-09-07,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-09-08,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.13,,
1955-09-09,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-09-10,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-09-11,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-09-12,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-09-13,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-09-14,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2,,
1955-09-15,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-09-16,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-09-17,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.19,,
1955-09-18,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.19,,
1955-09-19,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-09-20,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-09-21,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-09-22,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-09-23,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-09-24,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-09-25,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-09-26,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-09-27,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-09-28,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-09-29,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-09-30,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-10-01,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.19,,
1955-10-02,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.19,,
1955-10-03,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-04,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-05,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-10-06,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-07,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-08,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-10-09,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-10-10,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-11,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-12,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-13,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-14,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-15,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-10-16,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-10-17,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-18,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-10-19,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-10-20,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-21,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-22,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-10-23,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-10-24,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-25,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-26,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-27,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-28,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-10-29,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-10-30,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-10-31,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
